X,Y,OCC_YEAR,OCC_MONTH,HOOD_158,NEIGHBOURHOOD_158
-79.3157626299999,43.7967668800001,2005,July,148,East L'Amoreaux
-79.38108203,43.6583163600001,2005,July,168,Downtown Yonge East
-79.58321011,43.73298162,2005,August,2,Mount Olive-Silverstone-Jamestown
-79.33312856,43.7981694000001,2005,August,147,L'Amoreaux West
-79.37551634,43.66573486,2005,August,71,Cabbagetown-South St.James Town
-79.37551634,43.66573486,2005,August,71,Cabbagetown-South St.James Town
-79.5205853099999,43.6958138100001,2005,August,8,Humber Heights-Westmount
-79.37468029,43.6670883300001,2005,August,71,Cabbagetown-South St.James Town
-79.33495372,43.7187242800001,2005,August,44,Flemingdon Park
-79.26662183,43.75811664,2005,August,156,Bendale-Glen Andrew
-79.50728385,43.6025305000001,2005,August,18,New Toronto
-79.22055842,43.7428288200001,2005,August,139,Scarborough Village
-79.5095221299999,43.7391209400001,2005,August,25,Glenfield-Jane Heights
-79.37011896,43.65615654,2005,August,73,Moss Park
-79.34365243,43.7402678400001,2005,September,42,Banbury-Don Mills
-79.50130898,43.7049818200001,2005,September,28,Rustic
-79.40009206,43.6355817900001,2005,September,163,Fort York-Liberty Village
-79.51476374,43.76720514,2005,September,24,Black Creek
-79.5163405,43.7518865600001,2005,September,25,Glenfield-Jane Heights
-79.4342743,43.63630227,2005,September,85,South Parkdale
-79.54936006,43.72728306,2005,September,5,Elms-Old Rexdale
-79.54936006,43.72728306,2005,September,5,Elms-Old Rexdale
-79.54936006,43.72728306,2005,September,5,Elms-Old Rexdale
-79.4400817499999,43.7361031200001,2005,September,33,Clanton Park
-79.3352611299999,43.6945392200001,2005,September,58,Old East York
-79.1626279499999,43.7703886400001,2005,October,136,West Hill
-79.5885304,43.7386883200001,2005,October,2,Mount Olive-Silverstone-Jamestown
-79.5916994999999,43.7367668700001,2005,October,2,Mount Olive-Silverstone-Jamestown
-79.5916994999999,43.7367668700001,2005,October,2,Mount Olive-Silverstone-Jamestown
-79.33312856,43.7981694000001,2005,November,147,L'Amoreaux West
-79.30157306,43.7152998400001,2005,November,54,O'Connor-Parkview
-79.4338729099999,43.6393201400001,2005,November,85,South Parkdale
-79.44278975,43.69729598,2005,November,108,Briar Hill-Belgravia
-79.40656984,43.75649487,2005,November,153,Avondale
-79.4636268199999,43.6807157700001,2005,November,91,Weston-Pelham Park
-79.59230675,43.74237026,2005,November,2,Mount Olive-Silverstone-Jamestown
-79.27737099,43.74557201,2005,November,126,Dorset Park
-79.44868158,43.65957074,2005,November,171,Junction-Wallace Emerson
-79.4268528599999,43.70709886,2005,December,102,Forest Hill North
-79.51668932,43.7518500300001,2005,December,25,Glenfield-Jane Heights
-79.3176660999999,43.68462092,2005,December,64,Woodbine Corridor
-79.44732917,43.6963527,2006,January,108,Briar Hill-Belgravia
-79.41491774,43.7351751200001,2006,January,39,Bedford Park-Nortown
-79.5004743499999,43.7449688,2006,February,25,Glenfield-Jane Heights
-79.33495372,43.7187242800001,2006,February,44,Flemingdon Park
-79.33038092,43.7966955800001,2006,February,147,L'Amoreaux West
-79.33038092,43.7966955800001,2006,February,147,L'Amoreaux West
-79.33038092,43.7966955800001,2006,February,147,L'Amoreaux West
-79.29251472,43.69285848,2006,March,61,Taylor-Massey
-79.17438663,43.7927161800001,2006,March,134,Highland Creek
-79.54522323,43.7478746,2006,March,22,Humbermede
-79.21891018,43.74317589,2006,March,139,Scarborough Village
-79.37377428,43.66728915,2006,March,74,North St.James Town
-79.49091301,43.68756517,2006,March,115,Mount Dennis
-79.5071915199999,43.7484669500001,2006,March,25,Glenfield-Jane Heights
-79.54907202,43.75064251,2006,April,21,Humber Summit
-79.47342875,43.7291415,2006,April,155,Downsview
-79.34431813,43.78096988,2006,April,47,Don Valley Village
-79.32852697,43.7190244000001,2006,April,44,Flemingdon Park
-79.5088959299999,43.60153166,2006,April,18,New Toronto
-79.32322605,43.6838945800001,2006,May,66,Danforth
-79.3941030299999,43.6526032100001,2006,May,78,Kensington-Chinatown
-79.2937192799999,43.6925816,2006,May,61,Taylor-Massey
-79.4208665099999,43.68618824,2006,May,106,Humewood-Cedarvale
-79.21567941,43.76056737,2006,May,141,Golfdale-Cedarbrae-Woburn
-79.3335503499999,43.68165435,2006,June,66,Danforth
-79.48599638,43.7428613100001,2006,June,155,Downsview
-79.50657838,43.6956364000001,2006,June,113,Weston
-79.50226868,43.71652663,2006,June,28,Rustic
-79.49091301,43.68756517,2006,June,115,Mount Dennis
-79.50815463,43.7190711700001,2006,June,154,Oakdale-Beverley Heights
-79.22448013,43.8025008600001,2006,June,145,Malvern West
-79.38265705,43.66673432,2006,June,167,Church-Wellesley
-79.3679003999999,43.64743567,2006,June,166,St Lawrence-East Bayfront-The Islands
-79.47190263,43.6772222000001,2006,July,90,Junction Area
-79.54485457,43.6008445100001,2006,July,20,Alderwood
-79.37606178,43.6554536900001,2006,July,168,Downtown Yonge East
-79.2264549,43.82980644,2006,July,144,Morningside Heights
-79.49201672,43.6879166300001,2006,July,115,Mount Dennis
-79.2264549,43.82980644,2006,July,144,Morningside Heights
-79.5920840699999,43.73217463,2006,July,1,West Humber-Clairville
-79.31062202,43.7137981400001,2006,July,54,O'Connor-Parkview
-79.31062202,43.7137981400001,2006,July,54,O'Connor-Parkview
-79.21694931,43.8072332400001,2006,July,146,Malvern East
-79.4366091699999,43.63872666,2006,August,85,South Parkdale
-79.38359055,43.6583035300001,2006,September,170,Yonge-Bay Corridor
-79.38359055,43.6583035300001,2006,September,170,Yonge-Bay Corridor
-79.30397793,43.8017136300001,2006,September,148,East L'Amoreaux
-79.24036174,43.7704551100001,2006,September,142,Woburn North
-79.42913198,43.6385765900001,2006,September,85,South Parkdale
-79.3256371799999,43.8073583500001,2006,September,116,Steeles
-79.2564559799999,43.7101685800001,2006,September,122,Birchcliffe-Cliffside
-79.3825417799999,43.66314727,2006,September,167,Church-Wellesley
-79.56910076,43.75904905,2006,September,21,Humber Summit
-79.56014355,43.64739045,2006,October,158,Islington
-79.30446524,43.71890074,2006,October,43,Victoria Village
-79.3635225099999,43.6662301600001,2006,October,71,Cabbagetown-South St.James Town
-79.30048125,43.7279357100001,2006,October,119,Wexford/Maryvale
-79.1943528,43.7892712500001,2006,October,134,Highland Creek
-79.4962639299999,43.6277279700001,2006,October,16,Stonegate-Queensway
-79.38735317,43.64881731,2006,October,164,Wellington Place
-79.30225605,43.71598276,2006,November,43,Victoria Village
-79.30225605,43.71598276,2006,November,43,Victoria Village
-79.22924026,43.80987415,2006,November,145,Malvern West
-79.48447934,43.6493242400001,2006,November,87,High Park-Swansea
