EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,PRIMARY_OFFENCE,REPORT_YEAR,REPORT_MONTH
GO-20141545179,113,Weston,-79.5239897769999,43.7038227410001,THEFT UNDER,2014,February
GO-20141545496,70,South Riverdale,-79.334329118,43.659796724,THEFT UNDER,2014,February
GO-20149001341,79,University,-79.4105905499999,43.665248209,THEFT UNDER,2014,February
GO-20141546511,64,Woodbine Corridor,-79.320297453,43.6753310560001,THEFT UNDER,2014,February
GO-20141564097,126,Dorset Park,-79.274931527,43.749491828,THEFT UNDER,2014,February
GO-20149001446,81,Trinity-Bellwoods,-79.407675871,43.6512506990001,THEFT UNDER,2014,February
GO-20141587267,108,Briar Hill-Belgravia,-79.444679322,43.697726742,THEFT UNDER,2014,February
GO-20141590253,2,Mount Olive-Silverstone-Jamestown,-79.587083615,43.7509932830001,THEFT UNDER,2014,February
GO-20149001553,169,Bay-Cloverhill,-79.388513179,43.66743037,THEFT UNDER,2014,February
GO-20149001570,88,High Park North,-79.475215557,43.6611115310001,THEFT UNDER,2014,February
GO-20141600543,167,Church-Wellesley,-79.38678443,43.6702202120001,THEFT UNDER,2014,February
GO-20141609988,78,Kensington-Chinatown,-79.4034868529999,43.649604056,B&E,2014,February
GO-20141620477,171,Junction-Wallace Emerson,-79.4438554069999,43.6648754450001,B&E,2014,March
GO-20141634799,72,Regent Park,-79.357039855,43.6585404730001,THEFT UNDER,2014,March
GO-20149001784,62,East End-Danforth,-79.29802043,43.678879319,THEFT UNDER,2014,March
GO-20149001765,168,Downtown Yonge East,-79.3758716,43.6549486980001,THEFT UNDER,2014,March
GO-20149001820,169,Bay-Cloverhill,-79.388513179,43.66743037,THEFT UNDER,2014,March
GO-20141649320,168,Downtown Yonge East,-79.378765936,43.6543157680001,THEFT UNDER,2014,March
GO-20141650747,73,Moss Park,-79.369627564,43.6571935540001,THEFT UNDER,2014,March
GO-20149001842,73,Moss Park,-79.3699617999999,43.6544185560001,THEFT UNDER,2014,March
GO-20141656024,68,North Riverdale,-79.342588,43.671991495,B&E,2014,March
GO-20149001867,56,Leaside-Bennington,-79.366510161,43.7112934350001,THEFT UNDER,2014,March
GO-20149001884,170,Yonge-Bay Corridor,-79.382227025,43.6571909370001,THEFT UNDER,2014,March
GO-20141670291,95,Annex,-79.397377143,43.6680270460001,THEFT UNDER,2014,March
GO-20141669575,90,Junction Area,-79.48114881,43.668362415,B&E,2014,March
GO-20149001917,169,Bay-Cloverhill,-79.389960622,43.668796593,THEFT UNDER,2014,March
GO-20141677268,74,North St.James Town,-79.373774283,43.6672891530001,THEFT UNDER,2014,March
GO-20141675909,78,Kensington-Chinatown,-79.402332351,43.6552288660001,THEFT UNDER,2014,March
GO-20141668687,71,Cabbagetown-South St.James Town,-79.377210868,43.6635929650001,THEFT UNDER,2014,March
GO-20149002000,89,Runnymede-Bloor West Village,-79.4818518829999,43.663181453,THEFT FROM MOTOR VEHICLE UNDER,2014,March
GO-20149001966,70,South Riverdale,-79.322112776,43.6513722500001,THEFT UNDER,2014,March
GO-20141681258,73,Moss Park,-79.368074887,43.6552211690001,THEFT UNDER,2014,March
GO-20141692241,122,Birchcliffe-Cliffside,-79.2639958079999,43.696987554,THEFT UNDER,2014,March
GO-20141694393,65,Greenwood-Coxwell,-79.317655604,43.666085584,THEFT UNDER,2014,March
GO-20149001985,95,Annex,-79.402415962,43.6694533840001,THEFT UNDER,2014,March
GO-20141711138,74,North St.James Town,-79.3722046139999,43.667628758,THEFT UNDER,2014,March
GO-20141740213,168,Downtown Yonge East,-79.3820369009999,43.66033351,THEFT UNDER,2014,March
GO-20141719595,47,Don Valley Village,-79.362148437,43.7744993490001,THEFT UNDER,2014,March
GO-20149002177,168,Downtown Yonge East,-79.3778514859999,43.6582049030001,THEFT UNDER,2014,March
GO-20141736217,71,Cabbagetown-South St.James Town,-79.374311398,43.6644734590001,THEFT UNDER,2014,March
GO-20141731597,174,South Eglinton-Davisville,-79.397215606,43.7011308510001,THEFT UNDER,2014,March
GO-20149002225,56,Leaside-Bennington,-79.364300118,43.7055795960001,THEFT UNDER,2014,March
GO-20141743873,167,Church-Wellesley,-79.383945438,43.6650598580001,THEFT UNDER,2014,March
GO-20141742378,170,Yonge-Bay Corridor,-79.3837625529999,43.6557097780001,THEFT UNDER,2014,March
GO-20141746457,108,Briar Hill-Belgravia,-79.4436937039999,43.7017105560001,THEFT UNDER,2014,March
GO-20141752609,95,Annex,-79.412973337,43.6695888850001,THEFT UNDER,2014,March
GO-20141760643,167,Church-Wellesley,-79.383106732,43.661365624,THEFT UNDER,2014,March
GO-20141760093,12,Markland Wood,-79.5827549479999,43.633260808,B&E,2014,March
GO-20149002347,170,Yonge-Bay Corridor,-79.386218796,43.6577524520001,THEFT UNDER,2014,March
GO-20141769705,164,Wellington Place,-79.4011242879999,43.6469665340001,THEFT UNDER,2014,March
GO-20141769678,55,Thorncliffe Park,-79.358519281,43.71145955,PROPERTY - FOUND,2014,March
GO-20141778180,54,O'Connor-Parkview,-79.296977238,43.7004510580001,THEFT UNDER,2014,March
GO-20149002392,78,Kensington-Chinatown,-79.398826953,43.6549078620001,THEFT UNDER,2014,March
GO-20141778734,168,Downtown Yonge East,-79.376457849,43.654823315,THEFT UNDER,2014,March
GO-20149002410,168,Downtown Yonge East,-79.378176287,43.6574902090001,THEFT UNDER,2014,March
GO-20141791881,71,Cabbagetown-South St.James Town,-79.373774283,43.6672891530001,THEFT UNDER,2014,March
GO-20141788268,56,Leaside-Bennington,-79.365754873,43.706139353,THEFT UNDER,2014,March
GO-20141794391,98,Rosedale-Moore Park,-79.385826921,43.6719712070001,THEFT UNDER,2014,March
GO-20149002440,167,Church-Wellesley,-79.3851186059999,43.6688405260001,THEFT UNDER,2014,March
GO-20141796490,65,Greenwood-Coxwell,-79.320637738,43.6750328000001,THEFT UNDER,2014,March
GO-20141802880,80,Palmerston-Little Italy,-79.4161102209999,43.6640624520001,THEFT UNDER,2014,March
GO-20141803189,151,Yonge-Doris,-79.412969694,43.776076378,INCIDENT - BICYCLE,2014,March
GO-20141799234,108,Briar Hill-Belgravia,-79.444991282,43.6984676610001,THEFT UNDER,2014,March
GO-20149002462,67,Playter Estates-Danforth,-79.3462630719999,43.67866344,THEFT UNDER,2014,March
GO-20149002489,94,Wychwood,-79.43297162,43.675301027,THEFT UNDER,2014,April
GO-20141809196,167,Church-Wellesley,-79.3843270099999,43.6690129850001,THEFT UNDER,2014,April
GO-20141810819,69,Blake-Jones,-79.344227646,43.677407106,THEFT UNDER,2014,April
GO-20141809722,70,South Riverdale,-79.329232567,43.6738743810001,THEFT UNDER,2014,April
GO-20149002543,159,Etobicoke City Centre,-79.534031383,43.63844241,THEFT UNDER,2014,April
GO-20141819819,43,Victoria Village,-79.303657146,43.722180344,THEFT UNDER,2014,April
GO-20141821281,65,Greenwood-Coxwell,-79.324978201,43.681486557,THEFT UNDER,2014,April
GO-20149002553,69,Blake-Jones,-79.339382458,43.676765634,THEFT UNDER,2014,April
GO-20141822406,88,High Park North,-79.472830909,43.657746199,THEFT UNDER,2014,April
GO-20149002569,69,Blake-Jones,-79.338160095,43.6783219270001,THEFT UNDER,2014,April
GO-20141822324,167,Church-Wellesley,-79.3807192629999,43.6635544370001,THEFT UNDER,2014,April
GO-20141825417,120,Clairlea-Birchmount,-79.294273728,43.707431774,B&E,2014,April
GO-20141828757,71,Cabbagetown-South St.James Town,-79.370521278,43.6649106090001,THEFT UNDER,2014,April
GO-20141832158,69,Blake-Jones,-79.3405333489999,43.6745437750001,THEFT UNDER,2014,April
GO-20149002580,84,Little Portugal,-79.425427579,43.6498470980001,THEFT UNDER,2014,April
GO-20141831633,111,Rockcliffe-Smythe,-79.4766967639999,43.6804697690001,THEFT UNDER,2014,April
GO-20141837662,168,Downtown Yonge East,-79.3795725639999,43.656285138,THEFT UNDER,2014,April
