EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,REPORT_YEAR,REPORT_MONTH,OFFENCE,MCI_CATEGORY
GO-20141397728,95,Annex,-79.3941377689999,43.668714089,2014,January,Theft Over,Theft Over
GO-20141401067,42,Banbury-Don Mills,-79.351743019,43.7512945340001,2014,January,Theft Over,Theft Over
GO-20141408533,39,Bedford Park-Nortown,-79.425353125,43.7167789960001,2014,January,Theft Over,Theft Over
GO-20149000751,60,Woodbine-Lumsden,-79.317429606,43.6995005650001,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-20141414982,166,St Lawrence-East Bayfront-The Islands,-79.362137709,43.6501911230001,2014,January,Theft Over,Theft Over
GO-20141413752,24,Black Creek,-79.5228450549999,43.772988544,2014,January,Theft From Mail / Bag / Key,Theft Over
GO-20141413263,116,Steeles,-79.3297145939999,43.806293302,2014,January,Theft From Mail / Bag / Key,Theft Over
GO-20141413933,1,West Humber-Clairville,-79.577062703,43.690206012,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-20141419564,42,Banbury-Don Mills,-79.359388512,43.745867381,2014,January,Theft Over,Theft Over
GO-20141418709,94,Wychwood,-79.4307369219999,43.6806459680001,2014,January,Theft Over,Theft Over
GO-20141427238,81,Trinity-Bellwoods,-79.412053751,43.6507047900001,2014,January,Theft Over,Theft Over
GO-20141424403,1,West Humber-Clairville,-79.578264071,43.701317798,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-20141427641,7,Willowridge-Martingrove-Richview,-79.5284847729999,43.683037373,2014,January,Theft Over,Theft Over
GO-20141431375,161,Humber Bay Shores,-79.487233056,43.614542514,2014,January,Theft From Mail / Bag / Key,Theft Over
GO-20141430862,94,Wychwood,-79.428679148,43.677272396,2014,January,Theft Over,Theft Over
GO-20141431172,95,Annex,-79.390821919,43.6700313950001,2014,January,Theft Over,Theft Over
GO-20141432068,96,Casa Loma,-79.41420994,43.6753882990001,2014,January,Theft Over,Theft Over
