EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,REPORT_YEAR,REPORT_MONTH,OFFENCE,MCI_CATEGORY
GO-20141320067,65,Greenwood-Coxwell,-79.325795838,43.6790767900001,2014,January,Robbery - Mugging,Robbery
GO-20141319671,168,Downtown Yonge East,-79.3764664939999,43.660301378,2014,January,Robbery With Weapon,Robbery
GO-20141317652,159,Etobicoke City Centre,-79.5256302719999,43.6441823920001,2014,January,Robbery With Weapon,Robbery
GO-20141318222,166,St Lawrence-East Bayfront-The Islands,-79.371461358,43.6494440000001,2014,January,Robbery - Swarming,Robbery
GO-20141318985,138,Eglinton East,-79.2412150339999,43.742198794,2014,January,Robbery - Other,Robbery
GO-20141319989,63,The Beaches,-79.299750321,43.6780909840001,2014,January,Robbery - Mugging,Robbery
GO-20141320266,85,South Parkdale,-79.432516241,43.6398847560001,2014,January,Robbery With Weapon,Robbery
GO-20141324187,56,Leaside-Bennington,-79.376569661,43.7111554690001,2014,January,Robbery - Other,Robbery
GO-20141326467,46,Pleasant View,-79.3266956159999,43.7746603840001,2014,January,Robbery With Weapon,Robbery
GO-20141320854,31,Yorkdale-Glen Park,-79.441213333,43.709548946,2014,January,Robbery - Other,Robbery
GO-20141321028,6,Kingsview Village-The Westway,-79.5514467149999,43.694724668,2014,January,Robbery - Other,Robbery
GO-20141321228,24,Black Creek,-79.5204011599999,43.768820546,2014,January,Robbery - Swarming,Robbery
GO-20141323954,168,Downtown Yonge East,-79.3756105159999,43.6502596220001,2014,January,Robbery - Financial Institute,Robbery
GO-20141327765,130,Milliken,-79.2870166769999,43.8149265480001,2014,January,Robbery - Home Invasion,Robbery
GO-20141330796,73,Moss Park,-79.374451063,43.6601961800001,2014,January,Robbery - Mugging,Robbery
GO-20141332558,147,L'Amoreaux West,-79.3255208959999,43.797267994,2014,January,Robbery - Taxi,Robbery
GO-20141331950,130,Milliken,-79.300465882,43.808907182,2014,January,Robbery With Weapon,Robbery
GO-20141332202,168,Downtown Yonge East,-79.382114209,43.6590897740001,2014,January,Robbery - Mugging,Robbery
GO-20141331238,171,Junction-Wallace Emerson,-79.443560958,43.6673219190001,2014,January,Robbery - Swarming,Robbery
GO-20141337027,126,Dorset Park,-79.271107002,43.767918794,2014,January,Robbery - Financial Institute,Robbery
GO-20141338395,109,Caledonia-Fairbank,-79.455095114,43.6946194510001,2014,January,Robbery With Weapon,Robbery
GO-20141338390,167,Church-Wellesley,-79.379334198,43.665427999,2014,January,Robbery - Mugging,Robbery
GO-20141343218,83,Dufferin Grove,-79.431347901,43.657730325,2014,January,Robbery - Mugging,Robbery
GO-20141335761,78,Kensington-Chinatown,-79.394993218,43.6504689810001,2014,January,Robbery - Other,Robbery
GO-20141335270,155,Downsview,-79.479339237,43.727777696,2014,January,Robbery - Mugging,Robbery
GO-20141336266,139,Scarborough Village,-79.218910179,43.743175889,2014,January,Robbery - Mugging,Robbery
GO-20141340104,22,Humbermede,-79.54160509,43.7482274440001,2014,January,Robbery - Mugging,Robbery
GO-20141883572,149,Parkwoods-O'Connor Hills,-79.3135323779999,43.7529996860001,2014,January,Robbery - Taxi,Robbery
GO-20141343790,167,Church-Wellesley,-79.380562749,43.671604641,2014,January,Robbery - Business,Robbery
GO-20141343372,80,Palmerston-Little Italy,-79.4152467709999,43.6604010190001,2014,January,Robbery - Mugging,Robbery
GO-20141344678,138,Eglinton East,-79.261779492,43.733686139,2014,January,Robbery - Mugging,Robbery
GO-20141341661,73,Moss Park,-79.3713529789999,43.6590671610001,2014,January,Robbery - Mugging,Robbery
GO-20141343350,35,Westminster-Branson,-79.449667205,43.770635315,2014,January,Robbery - Home Invasion,Robbery
GO-20141343509,156,Bendale-Glen Andrew,-79.2585198629999,43.7528523890001,2014,January,Robbery - Mugging,Robbery
GO-20141345181,95,Annex,-79.398149899,43.669823793,2014,January,Robbery - Mugging,Robbery
GO-20141348919,164,Wellington Place,-79.396157219,43.6466182410001,2014,January,Robbery - Financial Institute,Robbery
GO-20141353442,112,Beechborough-Greenbrook,-79.476095336,43.6899125150001,2014,January,Robbery - Other,Robbery
GO-20141351191,174,South Eglinton-Davisville,-79.3983628509999,43.7067258010001,2014,January,Robbery - Other,Robbery
GO-20141350595,48,Hillcrest Village,-79.364542896,43.791987401,2014,January,Robbery - Purse Snatch,Robbery
GO-20141350946,47,Don Valley Village,-79.361514847,43.7886874910001,2014,January,Robbery - Purse Snatch,Robbery
GO-20141351038,47,Don Valley Village,-79.3580971869999,43.7907960730001,2014,January,Robbery - Purse Snatch,Robbery
GO-20141348725,74,North St.James Town,-79.37206804,43.67070052,2014,January,Robbery - Other,Robbery
GO-20141347811,32,Englemount-Lawrence,-79.438130627,43.7297748710001,2014,January,Robbery - Purse Snatch,Robbery
GO-20141349538,152,East Willowdale,-79.407616511,43.7694750090001,2014,January,Robbery - Mugging,Robbery
GO-20141351519,47,Don Valley Village,-79.35072982,43.7854097900001,2014,January,Robbery With Weapon,Robbery
GO-20141357461,91,Weston-Pelham Park,-79.462840963,43.6788593430001,2014,January,Robbery - Mugging,Robbery
GO-20141356758,21,Humber Summit,-79.5587811519999,43.7485512650001,2014,January,Robbery - Business,Robbery
GO-20141355874,143,West Rouge,-79.168784934,43.804219302,2014,January,Robbery - Mugging,Robbery
GO-20141354494,81,Trinity-Bellwoods,-79.415421791,43.65456935,2014,January,Robbery - Financial Institute,Robbery
GO-20141354655,136,West Hill,-79.1833780699999,43.770420019,2014,January,Robbery With Weapon,Robbery
GO-20141353409,168,Downtown Yonge East,-79.377914687,43.649142543,2014,January,Robbery - Mugging,Robbery
GO-20141364244,86,Roncesvalles,-79.443875417,43.647332702,2014,January,Robbery - Swarming,Robbery
GO-20141363144,108,Briar Hill-Belgravia,-79.451925936,43.701471262,2014,January,Robbery - Business,Robbery
GO-20141363554,30,Brookhaven-Amesbury,-79.503834662,43.7028718380001,2014,January,Robbery - Mugging,Robbery
GO-20141362873,32,Englemount-Lawrence,-79.4413359229999,43.7309182910001,2014,January,Robbery - Mugging,Robbery
GO-20141362470,90,Junction Area,-79.475190348,43.67084871,2014,January,Robbery - Financial Institute,Robbery
GO-20141362167,146,Malvern East,-79.216949314,43.807233238,2014,January,Robbery With Weapon,Robbery
GO-20141361247,1,West Humber-Clairville,-79.605726566,43.728921191,2014,January,Robbery With Weapon,Robbery
GO-20141361126,24,Black Creek,-79.518818412,43.7619114080001,2014,January,Robbery - Mugging,Robbery
GO-20141358318,28,Rustic,-79.505341352,43.70840838,2014,January,Robbery - Mugging,Robbery
GO-20141359118,24,Black Creek,-79.518818412,43.7619114080001,2014,January,Robbery - Other,Robbery
GO-20141369764,24,Black Creek,-79.511669941,43.7660358050001,2014,January,Robbery - Purse Snatch,Robbery
GO-20141367469,124,Kennedy Park,-79.252027619,43.7272655580001,2014,January,Robbery With Weapon,Robbery
GO-20141365598,170,Yonge-Bay Corridor,-79.3837023899999,43.6612460370001,2014,January,Robbery - Other,Robbery
GO-20141370468,153,Avondale,-79.410934378,43.761502616,2014,January,Robbery - Swarming,Robbery
GO-20141370380,100,Yonge-Eglinton,-79.39784882,43.7043446490001,2014,January,Robbery - Swarming,Robbery
GO-20141374539,167,Church-Wellesley,-79.3838083269999,43.6668781060001,2014,January,Robbery - Mugging,Robbery
GO-20141371803,73,Moss Park,-79.3734549499999,43.6572976900001,2014,January,Robbery - Mugging,Robbery
GO-20141372278,87,High Park-Swansea,-79.453439184,43.655024026,2014,January,Robbery With Weapon,Robbery
