EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,REPORT_YEAR,REPORT_MONTH
GO-2004650414,16,Stonegate-Queensway,-79.4895010279999,43.639683538,2004,June
GO-2004237217,154,Oakdale-Beverley Heights,-79.513796554,43.7198240860001,2004,March
GO-2004126451,124,Kennedy Park,-79.25602522,43.732872941,2004,January
GO-2004732104,150,Fenside-Parkwoods,-79.332697479,43.7595130940001,2004,December
GO-2004390743,30,Brookhaven-Amesbury,-79.503834662,43.7028718380001,2004,April
GO-2004658416,73,Moss Park,-79.370440511,43.656091614,2004,September
GO-2004255502,24,Black Creek,-79.514763739,43.76720514,2004,March
GO-2004510813,23,Pelmo Park-Humberlea,-79.5351766809999,43.711196956,2004,June
GO-2004629203,18,New Toronto,-79.508895926,43.601531659,2004,August
GO-2004710040,158,Islington,-79.543222102,43.659851916,2004,November
GO-20041036512,138,Eglinton East,-79.2352531449999,43.7395239260001,2004,October
GO-2004663715,160,Mimico-Queensway,-79.4995839009999,43.6190571440001,2004,September
GO-2004612791,1,West Humber-Clairville,-79.603084047,43.734162993,2004,July
GO-2004637632,136,West Hill,-79.197576794,43.7589641810001,2004,August
GO-2004310859,25,Glenfield-Jane Heights,-79.5104455809999,43.7492207270001,2004,April
GO-2004676368,32,Englemount-Lawrence,-79.429812424,43.7192527510001,2004,November
GO-2004387719,168,Downtown Yonge East,-79.37738594,43.6609938070001,2004,May
GO-2004259451,8,Humber Heights-Westmount,-79.515797872,43.692512159,2004,April
GO-2004150454,59,Danforth East York,-79.337565752,43.686260954,2004,January
GO-2004148623,171,Junction-Wallace Emerson,-79.434395899,43.6704655560001,2004,January
GO-2004423639,111,Rockcliffe-Smythe,-79.497441963,43.6719045500001,2004,May
GO-2004773806,148,East L'Amoreaux,-79.3051546309999,43.7971094980001,2004,December
GO-2004645696,24,Black Creek,-79.519288183,43.770266264,2004,September
GO-2004756919,108,Briar Hill-Belgravia,-79.450971308,43.697178159,2004,December
GO-2004455137,85,South Parkdale,-79.428125506,43.6359750600001,2004,June
GO-2004640940,118,Tam O'Shanter-Sullivan,-79.299344595,43.7835887050001,2004,August
GO-2004768032,130,Milliken,-79.281954831,43.826114843,2004,December
GO-2004153417,28,Rustic,-79.503834662,43.7028718380001,2004,January
GO-2004637844,2,Mount Olive-Silverstone-Jamestown,-79.595182946,43.750719449,2004,August
GO-2004676793,111,Rockcliffe-Smythe,-79.476747684,43.6816028420001,2004,October
GO-2004696937,4,Rexdale-Kipling,-79.572362719,43.723431684,2004,November
GO-2004194940,128,Agincourt South-Malvern West,-79.288260255,43.783280684,2004,February
GO-2004687286,83,Dufferin Grove,-79.4383733069999,43.6517175390001,2004,October
GO-2004691183,154,Oakdale-Beverley Heights,-79.510422379,43.7247661370001,2004,November
GO-2004642752,121,Oakridge,-79.271508108,43.6950590700001,2004,August
GO-2004406517,111,Rockcliffe-Smythe,-79.495704474,43.6761951620001,2004,May
GO-2004354521,78,Kensington-Chinatown,-79.400624339,43.6521929250001,2004,May
GO-2004432295,89,Runnymede-Bloor West Village,-79.4992037339999,43.6655180380001,2004,July
GO-2004730003,44,Flemingdon Park,-79.327777461,43.7126145500001,2004,December
GO-2004710035,148,East L'Amoreaux,-79.3051546309999,43.7971094980001,2004,December
GO-2004598521,145,Malvern West,-79.228686277,43.8093831830001,2004,July
GO-2004233515,142,Woburn North,-79.232975794,43.779538518,2004,March
GO-2004147495,145,Malvern West,-79.220921151,43.805573183,2004,January
GO-2004510279,2,Mount Olive-Silverstone-Jamestown,-79.591940268,43.7453232770001,2004,June
GO-2004974875,166,St Lawrence-East Bayfront-The Islands,-79.373303243,43.6486713530001,2004,August
GO-2004263733,148,East L'Amoreaux,-79.3051546309999,43.7971094980001,2004,April
GO-2004511158,161,Humber Bay Shores,-79.487233056,43.614542514,2004,June
GO-2004437150,110,Keelesdale-Eglinton West,-79.4703976929999,43.6912192020001,2004,May
GO-2004642019,27,York University Heights,-79.50006508,43.7673077600001,2004,August
GO-2004669350,28,Rustic,-79.504828491,43.7066391340001,2004,September
GO-2004658110,148,East L'Amoreaux,-79.303525806,43.793335176,2004,September
GO-2004148619,144,Morningside Heights,-79.203862334,43.823535409,2004,January
GO-2004153438,135,Morningside,-79.215790715,43.789524514,2004,January
GO-2004861470,40,St.Andrew-Windfields,-79.4074472679999,43.7472966080001,2004,December
GO-2004536122,147,L'Amoreaux West,-79.322827579,43.7809900170001,2004,June
GO-2004487997,118,Tam O'Shanter-Sullivan,-79.299344595,43.7835887050001,2004,June
GO-2004172092,107,Oakwood Village,-79.4392189449999,43.695347247,2004,February
GO-2004505020,146,Malvern East,-79.23605587,43.791871525,2004,June
GO-2004156017,142,Woburn North,-79.251495044,43.7721358860001,2004,January
GO-2004431138,111,Rockcliffe-Smythe,-79.493160093,43.670293287,2004,November
GO-2004592201,48,Hillcrest Village,-79.356335937,43.8008534090001,2004,July
